_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan
67d7c107380fe7c6439a23b8,H00FRA0002190616,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-08T10:50:37,shipment manifested,2025-01-10T07:45:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a23c8,H00FFA0003196108,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-06T19:20:14,shipment manifested,2025-01-07T07:38:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a2405,H00FRA0002189144,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-07T12:56:09,shipment manifested,2025-01-08T07:54:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a9173,H00FFA0003186880,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T10:09:30,shipment manifested,2024-12-29T10:28:32,shipment dropped off awaiting carrier collection,2024-12-30T07:21:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a91dd,H00FFA0003187262,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T16:23:39,shipment manifested,2024-12-29T14:00:25,shipment dropped off awaiting carrier collection,2024-12-30T00:56:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a91e6,H00FRA0002177074,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T17:26:58,shipment manifested,2024-12-29T11:37:33,shipment dropped off awaiting carrier collection,2024-12-30T07:45:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a9466,H00FRA0002182087,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T08:41:05,shipment manifested,2025-01-02T16:44:58,shipment dropped off awaiting carrier collection,2025-01-03T07:49:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439aab5b,1Z61A84F9909658187,0bb863db-1a5d-4688-8212-a842ab236726,2024-09-30T15:04:40,shipment manifested,2024-10-01T08:44:03,collection scheduled,2024-10-01T10:13:04,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439aab72,1Z61A84F9908589790,0bb863db-1a5d-4688-8212-a842ab236726,2024-09-30T15:04:40,shipment manifested,2024-10-01T08:44:03,collection scheduled,2024-10-01T10:13:04,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439aac05,H00FRA0002201180,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-17T17:40:43,shipment manifested,2025-01-19T14:57:53,shipment dropped off awaiting carrier collection,2025-01-20T05:17:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439ab9bb,H00FRA0002184726,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-03T19:31:48,shipment manifested,2025-01-04T20:55:58,shipment dropped off awaiting carrier collection,2025-01-06T08:13:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439ababe,H00FRA0002179256,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-30T10:35:53,shipment manifested,2024-12-30T10:35:53,shipment manifested,2024-12-31T07:09:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439ace0c,H00FRA0002092529,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-10-18T10:30:37,shipment manifested,2024-10-20T10:18:51,shipment dropped off awaiting carrier collection,2024-10-21T06:28:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439afbcb,H00FRA0002187936,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-06T16:04:29,shipment manifested,2025-01-07T08:36:00,collection scheduled,2025-01-07T18:06:35,collection failed,2025-01-08T08:22:00,collection scheduled,,,,,,,,,,,,,,,,,,,,,,,,,,,,
